# TIC 276754403, Night 2025-04-29
# Transit midtime (Tc) = 2460795.7795524481
BJD,FLUX
2460804.5157699827,1.0
2460804.5929249274,1.0
2460804.6700798715,1.0
2460804.7472348157,1.0
2460804.82438976,1.0
2460804.9015447046,1.0
2460804.9786996488,1.0
2460805.055854593,0.987174561112027
2460805.133009537,1.0
2460805.210164482,1.0
2460805.287319426,1.0
2460805.36447437,1.0
2460805.4416293143,1.0
2460805.5187842585,1.0
2460805.595939203,1.0
2460805.6730941474,1.0
2460805.7502490915,1.0
2460805.8274040357,1.0
2460805.9045589804,1.0
2460805.9817139246,0.9871813657039288
2460806.0588688687,1.0
2460806.136023813,1.0
2460806.2131787576,1.0
2460806.2903337018,1.0
2460806.367488646,1.0
2460806.44464359,1.0
2460806.521798535,1.0
2460806.598953479,1.0
2460806.676108423,1.0
2460806.7532633673,1.0
2460806.830418312,1.0
2460806.907573256,0.987188367692221
2460806.9847282004,1.0
2460807.0618831445,1.0
2460807.1390380887,1.0
2460807.2161930334,1.0
2460807.2933479776,1.0
2460807.3705029218,1.0
2460807.447657866,1.0
2460807.5248128106,1.0
2460807.601967755,1.0
2460807.679122699,1.0
2460807.756277643,0.9999886450074426
2460807.833432588,0.9871955723214441
2460807.910587532,1.0
2460807.987742476,1.0
2460808.0648974204,1.0
2460808.142052365,1.0
2460808.219207309,1.0
2460808.2963622534,1.0
2460808.3735171976,1.0
2460808.450672142,1.0
2460808.5278270864,1.0
2460808.6049820306,1.0
2460808.6821369748,0.9999089599083774
2460808.7592919194,0.9872029850050336
2460808.8364468636,1.0
2460808.913601808,1.0
2460808.990756752,1.0
2460809.067911696,1.0
2460809.145066641,1.0
2460809.222221585,1.0
2460809.299376529,1.0
2460809.3765314734,1.0
2460809.453686418,1.0
2460809.530841362,1.0
2460809.6079963064,0.9997865688955959
2460809.6851512506,0.9872106113203611
2460809.762306195,1.0
2460809.8394611394,1.0
2460809.9166160836,1.0
2460809.993771028,1.0
2460810.0709259724,1.0
2460810.1480809166,1.0
2460810.225235861,1.0
2460810.302390805,1.0
2460810.3795457496,1.0
2460810.456700694,1.0
2460810.533855638,0.999632046849421
2460810.611010582,0.9872184570611789
2460810.6881655264,1.0
2460810.765320471,1.0
2460810.842475415,1.0
2460810.9196303594,1.0
2460810.9967853036,1.0
2460811.073940248,1.0
2460811.1510951924,1.0
2460811.2282501366,1.0
2460811.305405081,1.0
2460811.3825600254,1.0
2460811.4597149696,0.9994506464264072
2460811.536869914,0.987226528177036
2460811.614024858,1.0
2460811.6911798026,1.0
2460811.768334747,1.0
2460811.845489691,1.0
2460811.922644635,1.0
2460811.99979958,1.0
2460812.076954524,1.0
2460812.154109468,1.0
2460812.2312644124,1.0
2460812.3084193566,1.0
2460812.3855743012,0.9992458238036968
2460812.4627292454,0.9872348308258906
2460812.5398841896,1.0
2460812.617039134,1.0
2460812.6941940784,1.0
2460812.7713490226,1.0
2460812.848503967,1.0
2460812.925658911,1.0
2460813.0028138557,1.0
2460813.0799688,1.0
2460813.157123744,1.0
2460813.234278688,1.0
2460813.311433633,0.9990201546403257
2460813.388588577,0.9872433713711029
2460813.465743521,1.0
2460813.5428984654,1.0
2460813.62005341,1.0
2460813.6972083542,1.0
2460813.7743632984,1.0
2460813.8515182426,1.0
2460813.928673187,1.0
2460814.0058281315,1.0
2460814.0829830756,1.0
2460814.16013802,1.0
2460814.237292964,0.9987757053748394
2460814.3144479087,0.9872521563900579
2460814.391602853,1.0
2460814.468757797,1.0
2460814.545912741,1.0
2460814.623067686,1.0
