# TIC 276754403, Night 2025-07-15
# Transit midtime (Tc) = 2460872.5998194860
# T1 = 2460872.5443472126
# T4 = 2460872.6552917594
BJD,FLUX
2460872.6147803823,0.9870778034702522
2460872.61502623,0.9870808424050828
2460872.6152720777,0.9870839569543907
2460872.615517925,0.9870871485102612
2460872.6157637727,0.9870904185173732
2460872.6160096205,0.9870937684374653
2460872.616255468,0.9870971997741278
2460872.616501316,0.987100714067619
2460872.6167471637,0.9871043128956828
2460872.6169930114,0.987107997874398
2460872.617238859,0.9871117706590588
2460872.617484707,0.9871156329450888
2460872.6177305547,0.9871195864689907
2460872.6179764024,0.9871236330093317
2460872.6182222497,0.9871277743798322
2460872.6184680974,0.9871320124619853
2460872.618713945,0.9871363491591013
2460872.618959793,0.9871407864286504
2460872.6192056406,0.9871453262757027
2460872.6194514884,0.9871499707541698
2460872.619697336,0.9871547219680962
2460872.619943184,0.9871595820730039
2460872.6201890316,0.987164553277291
2460872.6204348793,0.987169637843687
2460872.620680727,0.9871748380907702
2460872.620926575,0.9871801563945463
2460872.621172422,0.987185595179678
2460872.62141827,0.987191156962634
2460872.6216641176,0.9871968442916769
2460872.6219099653,0.9872026597897003
2460872.622155813,0.9872086061459916
2460872.622401661,0.9872146861182646
2460872.6226475085,0.9872209025347823
2460872.6228933563,0.987227258296576
2460872.623139204,0.9872337563797641
2460872.6233850517,0.9872403998379753
2460872.6236308995,0.9872471918048854
2460872.623876747,0.9872541354968716
2460872.6241225945,0.9872612342021961
2460872.624368442,0.9872684913379938
2460872.62461429,0.9872759103726552
2460872.6248601377,0.9872834948825117
2460872.6251059854,0.9872912485418899
2460872.625351833,0.9872991751266362
2460872.625597681,0.9873072785178157
2460872.6258435287,0.9873155627055995
2460872.6260893764,0.9873240317933517
2460872.626335224,0.9873326900019301
2460872.626581072,0.9873415416742117
2460872.6268269196,0.9873505912798608
2460872.627072767,0.9873598434026342
2460872.6273186146,0.9873693028161621
2460872.6275644624,0.9873789743844067
2460872.62781031,0.9873888631372749
2460872.628056158,0.9873989742595309
2460872.6283020056,0.987409313097399
2460872.6285478533,0.9874198851655555
2460872.628793701,0.9874306961545328
2460872.629039549,0.987441751938571
2460872.6292853965,0.9874530585839475
2460872.6295312443,0.9874646223578258
2460872.6297770916,0.9874764497150019
2460872.6300229393,0.9874885473980172
2460872.630268787,0.9875009223134184
2460872.630514635,0.9875135816322124
2460872.6307604825,0.9875265327798374
2460872.6310063303,0.9875397834491099
2460872.631252178,0.9875533416140732
2460872.6314980257,0.9875672155448219
2460872.6317438735,0.9875814138233916
2460872.631989721,0.9875959453608137
2460872.632235569,0.9876108194154403
2460872.6324814167,0.9876260456126604
2460872.632727264,0.9876416339362696
2460872.6329731117,0.987657594870177
2460872.6332189594,0.9876739392460502
2460872.633464807,0.9876906783875139
2460872.633710655,0.987707824110032
2460872.6339565027,0.9877253887524576
2460872.6342023504,0.9877433852113553
2460872.634448198,0.9877618269784038
2460872.634694046,0.9877807281812319
2460872.6349398936,0.9878001036281011
2460872.6351857414,0.9878199688568927
2460872.635431589,0.9878403401889411
2460872.6356774364,0.9878612347482477
2460872.635923284,0.9878826706862504
2460872.636169132,0.9879046670169119
2460872.6364149796,0.9879272438544902
2460872.6366608273,0.9879504224641031
2460872.636906675,0.9879742253618702
